index,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Cluster,Psych_Label
14618,4,25,2,1,1,1,IN,1,3,2,3,3,4,2,5,2,5,3,3,3,3,4,3,5,3,3,3,3,3,2,3,2,4,3,4,3,3,2,4,3,3,3,5,5,3,4,4,4,3,1,3,4,3,4,4,4,4.0,2,Internalizer
14619,3,18,2,1,1,1,ES,3,4,4,3,3,4,3,3,3,4,1,5,4,3,2,1,1,2,1,2,1,5,1,5,2,3,1,5,5,5,4,4,5,2,3,4,4,2,3,5,4,1,4,1,5,2,5,3,4,4.0,3,Balanced
14620,3,20,1,2,1,5,US,3,1,4,4,4,1,1,4,2,4,1,5,2,4,1,1,1,1,4,1,4,2,5,2,4,4,3,2,3,3,4,2,5,1,2,1,5,1,4,5,4,2,4,2,5,1,5,5,5,5.0,0,Reserved
14621,3,13,1,2,1,1,US,5,1,5,1,5,1,5,2,5,2,4,4,4,5,2,2,2,2,2,2,1,5,1,5,2,5,1,5,5,5,5,3,5,3,3,1,3,1,4,5,4,1,5,1,5,1,5,3,5,5.0,3,Balanced
14622,8,21,1,2,1,1,US,2,4,2,5,2,4,1,4,1,4,5,2,5,1,4,5,3,2,2,5,1,4,2,5,2,5,3,4,5,3,3,5,5,5,3,5,4,2,3,3,5,3,5,3,2,1,3,5,4,5.0,2,Internalizer
14623,3,21,1,2,1,1,US,2,5,2,5,2,4,1,4,2,5,4,3,4,3,2,3,3,2,4,3,3,3,1,3,3,3,3,3,3,3,4,5,4,3,1,5,3,2,3,3,4,2,5,2,4,1,4,4,2,4.0,2,Internalizer
14624,3,42,1,2,1,1,US,2,2,4,2,4,1,1,3,3,3,4,2,4,4,4,3,1,1,4,1,1,3,2,5,2,5,2,4,4,2,2,3,5,4,4,4,5,1,4,5,3,1,4,1,4,1,4,3,5,5.0,3,Balanced
14625,0,22,2,2,1,1,PK,3,5,4,2,1,4,2,2,4,5,3,5,4,3,1,1,3,4,4,4,4,2,1,4,1,5,4,5,4,4,4,2,4,1,4,2,4,1,4,3,4,4,3,2,3,4,4,2,4,3.0,2,Internalizer
14626,1,18,2,2,1,1,BR,3,3,4,3,3,1,2,3,3,5,3,4,3,2,3,2,3,2,2,1,2,4,3,3,1,4,2,3,3,3,3,4,5,3,2,2,5,3,2,4,3,4,4,2,3,1,3,1,4,5.0,3,Balanced
14627,3,32,1,1,1,1,US,4,2,5,2,5,1,5,2,4,2,4,3,4,1,3,4,4,4,4,4,1,5,3,5,2,5,1,4,4,5,3,4,4,3,3,3,4,3,3,3,5,1,5,1,5,1,5,4,5,5.0,1,Striver
14628,3,1998,1,1,3,1,US,4,1,5,4,5,1,3,3,5,1,5,4,5,1,2,5,2,1,5,1,5,3,4,2,3,2,1,2,1,3,3,5,3,3,4,5,5,3,5,4,4,5,5,4,5,1,5,5,1,5.0,0,Reserved
14629,3,19,2,2,1,1,RS,3,4,2,3,4,3,2,4,3,4,1,4,3,3,4,2,3,2,3,3,3,5,2,5,4,2,2,4,5,4,2,3,5,2,3,1,3,3,3,3,4,2,4,2,5,1,2,3,3,4.0,3,Balanced
14630,3,17,2,2,2,1,SE,3,3,4,4,3,2,4,4,2,5,2,3,3,4,3,2,4,4,3,2,2,4,1,4,2,4,2,3,5,3,4,4,5,2,5,4,3,2,4,3,5,2,5,2,4,1,4,5,5,4.0,3,Balanced
14631,4,27,2,1,1,1,IN,2,5,3,4,2,3,2,5,2,5,2,3,2,3,4,5,5,4,4,4,2,5,1,5,2,5,2,4,4,3,4,2,4,2,2,2,4,2,3,3,4,2,4,1,5,1,4,5,5,5.0,2,Internalizer
14632,3,14,1,2,1,1,US,1,4,3,4,3,4,2,5,3,4,4,3,5,2,3,3,2,1,2,1,1,3,1,4,1,5,1,4,5,2,4,3,3,3,2,3,3,3,2,3,3,4,4,2,3,2,5,4,4,3.0,3,Balanced
14633,13,25,2,1,2,3,RS,3,3,4,3,2,1,2,5,4,2,5,3,4,3,4,4,5,4,4,2,4,4,1,5,2,3,1,3,4,4,3,2,4,3,4,1,5,2,3,4,3,2,4,1,3,1,5,3,3,3.0,1,Striver
14634,3,28,2,2,1,1,IT,1,3,2,5,3,4,1,5,1,2,2,4,5,4,4,2,4,4,2,4,4,2,4,4,2,4,4,2,4,3,4,4,4,4,3,4,2,3,3,2,3,4,5,2,3,1,3,3,4,4.0,2,Internalizer
14635,1,34,2,2,1,1,PR,5,2,3,3,3,1,3,5,2,2,3,3,4,2,3,3,4,2,4,4,1,3,1,4,3,3,2,4,4,3,4,1,4,1,3,2,4,1,4,5,5,1,5,1,5,1,5,3,5,5.0,1,Striver
14636,3,45,2,2,1,1,RS,2,3,4,4,3,4,3,3,2,4,3,4,1,2,3,4,1,1,5,4,2,4,3,4,3,1,2,5,4,3,4,1,4,2,3,1,5,3,3,3,4,1,5,1,5,5,5,5,5,5.0,0,Reserved
14637,13,16,2,1,1,1,IT,1,1,4,1,5,1,3,1,2,3,2,3,5,1,1,2,3,2,1,1,3,5,1,5,1,2,1,3,5,5,4,4,5,5,3,5,5,1,1,4,5,1,5,2,5,5,4,3,5,5.0,3,Balanced
14638,3,25,1,1,1,1,US,3,4,2,4,1,4,1,4,2,4,5,1,5,2,1,4,4,2,4,3,4,4,2,4,2,3,2,4,1,3,2,5,5,4,1,4,5,5,1,5,3,3,2,2,3,4,2,3,5,3.0,2,Internalizer
14639,13,23,2,2,0,1,RS,3,1,5,3,5,1,5,3,4,1,4,3,4,3,2,4,3,3,3,3,3,5,2,5,3,3,2,4,5,5,4,4,3,2,3,5,4,2,3,5,4,2,5,1,5,1,4,3,5,5.0,1,Striver
14640,11,17,2,2,1,1,PH,2,4,4,2,2,5,1,4,4,5,2,4,4,4,4,4,4,4,4,3,4,5,4,4,2,4,1,4,3,4,3,4,2,4,3,5,5,1,3,3,1,4,4,3,4,5,4,4,3,1.0,2,Internalizer
